     Time        WW       Cap      Tair      Patm      Hrel      Nebu    Pr?ip.     Evap.
      sec       m/s         ?        ?C      mbar         %      octa m3/s/m2*e-m3/s/m2*e-8
   4168800      2.9        100     12.4    1012.5         87         1 7.193E-01     1.53
   4179600      3.6         80     15.3    1015.1         76         1 3.596E-01     1.52
   4190400      2.6        300     18.9    1015.5         60         4 0.000E+00      1.5
   4201200      3.5        310     17.6    1015.6         66         6 0.000E+00      1.5
   4212000      1.4        190     13.3    1017.3         88         0 0.000E+00      1.5
   4222800      2.3        140     10.8    1018.6         92         1 0.000E+00      1.5
   4233600      0.9         50        10   1019.4         93         1 0.000E+00      1.5
   4244400      1.5        170     10.4    1019.1         93         0 0.000E+00      1.5
   4255200      0.7         80     11.1       1019        85         1 0.000E+00      1.5
   4266000      4.8         80     13.3    1019.5         76         7 0.000E+00      1.5
   4276800      3.2         80     16.8    1018.7         75         7 0.000E+00      1.5
   4287600      2.9        170     17.5    1017.5         75         7 0.000E+00     1.55
   4298400      1.3         70     14.3    1017.9         83         6 0.000E+00     1.59
   4309200      7.7         10     13.4    1018.7         76         7 0.000E+00     1.63
   4320000      5.7        310        12   1017.9         80         3 0.000E+00     1.68
   4330800      5.7        330      9.7    1017.3         84         0 0.000E+00     1.72
   4341600      5.8        320         9   1017.2         81         1 0.000E+00     1.77
   4352400      5.2        320     10.5    1017.7         74         1 0.000E+00     1.81
   4363200      7.2        320     14.6    1016.6         42         3 0.000E+00     1.85
   4374000      7.2        300     14.1    1015.1         54         3 0.000E+00     1.75
   4384800      3.6        310     10.7    1014.8         70         3 0.000E+00     1.65
   4395600      0.5        120      7.6    1014.3         77         0 0.000E+00     1.55
   4406400      2.3        110      7.5    1013.4         79         0 0.000E+00     1.45
   4417200      1.5        120         7   1011.3         82         0 0.000E+00     1.35
   4428000      0.9        150      8.6    1009.4         88         7 0.000E+00     1.24
